SAMPLE_NAME	ORGAN	ANTIBODY	TYPE	FASTQ	NEW_NAME
GSC1	Glioblastoma stem cells (GSCs)	H3K27AC	SINGLE	SRR7817398	GSC1_H3K27AC
GSC1	Glioblastoma stem cells (GSCs)	INPUT	SINGLE	SRR7817399	GSC1_INPUT
GSC2	Glioblastoma stem cells (GSCs)	H3K27AC	SINGLE	SRR7817420	GSC2_H3K27AC
GSC2	Glioblastoma stem cells (GSCs)	INPUT	SINGLE	SRR7817421	GSC2_INPUT
GSC3	Glioblastoma stem cells (GSCs)	H3K27AC	SINGLE	SRR7817442	GSC3_H3K27AC
GSC3	Glioblastoma stem cells (GSCs)	INPUT	SINGLE	SRR7817443	GSC3_INPUT
GSC4	Glioblastoma stem cells (GSCs)	H3K27AC	SINGLE	SRR7817464	GSC4_H3K27AC
GSC4	Glioblastoma stem cells (GSCs)	INPUT	SINGLE	SRR7817465	GSC4_INPUT
GSC5	Glioblastoma stem cells (GSCs)	H3K27AC	SINGLE	SRR7817474	GSC5_H3K27AC
GSC5	Glioblastoma stem cells (GSCs)	INPUT	SINGLE	SRR7817475	GSC5_INPUT
GSC6	Glioblastoma stem cells (GSCs)	H3K27AC	SINGLE	SRR7817476	GSC6_H3K27AC
GSC6	Glioblastoma stem cells (GSCs)	INPUT	SINGLE	SRR7817477	GSC6_INPUT
GSC7	Glioblastoma stem cells (GSCs)	H3K27AC	SINGLE	SRR7817478	GSC7_H3K27AC
GSC7	Glioblastoma stem cells (GSCs)	INPUT	SINGLE	SRR7817479	GSC7_INPUT
GSC8	Glioblastoma stem cells (GSCs)	H3K27AC	SINGLE	SRR7817480	GSC8_H3K27AC
GSC8	Glioblastoma stem cells (GSCs)	INPUT	SINGLE	SRR7817481	GSC8_INPUT
GSC9	Glioblastoma stem cells (GSCs)	H3K27AC	SINGLE	SRR7817482	GSC9_H3K27AC
GSC9	Glioblastoma stem cells (GSCs)	INPUT	SINGLE	SRR7817483	GSC9_INPUT
GSC10	Glioblastoma stem cells (GSCs)	H3K27AC	SINGLE	SRR7817400	GSC10_H3K27AC
GSC10	Glioblastoma stem cells (GSCs)	INPUT	SINGLE	SRR7817401	GSC10_INPUT
GSC11	Glioblastoma stem cells (GSCs)	H3K27AC	SINGLE	SRR7817402	GSC11_H3K27AC
GSC11	Glioblastoma stem cells (GSCs)	INPUT	SINGLE	SRR7817403	GSC11_INPUT
GSC12	Glioblastoma stem cells (GSCs)	H3K27AC	SINGLE	SRR7817404	GSC12_H3K27AC
GSC12	Glioblastoma stem cells (GSCs)	INPUT	SINGLE	SRR7817405	GSC12_INPUT
GSC13	Glioblastoma stem cells (GSCs)	H3K27AC	SINGLE	SRR7817406	GSC13_H3K27AC
GSC13	Glioblastoma stem cells (GSCs)	INPUT	SINGLE	SRR7817407	GSC13_INPUT
GSC14	Glioblastoma stem cells (GSCs)	H3K27AC	SINGLE	SRR7817408	GSC14_H3K27AC
GSC14	Glioblastoma stem cells (GSCs)	INPUT	SINGLE	SRR7817409	GSC14_INPUT
GSC15	Glioblastoma stem cells (GSCs)	H3K27AC	SINGLE	SRR7817410	GSC15_H3K27AC
GSC15	Glioblastoma stem cells (GSCs)	INPUT	SINGLE	SRR7817411	GSC15_INPUT
GSC16	Glioblastoma stem cells (GSCs)	H3K27AC	SINGLE	SRR7817412	GSC16_H3K27AC
GSC16	Glioblastoma stem cells (GSCs)	INPUT	SINGLE	SRR7817413	GSC16_INPUT
GSC17	Glioblastoma stem cells (GSCs)	H3K27AC	SINGLE	SRR7817414	GSC17_H3K27AC
GSC17	Glioblastoma stem cells (GSCs)	INPUT	SINGLE	SRR7817415	GSC17_INPUT
GSC18	Glioblastoma stem cells (GSCs)	H3K27AC	SINGLE	SRR7817416	GSC18_H3K27AC
GSC18	Glioblastoma stem cells (GSCs)	INPUT	SINGLE	SRR7817417	GSC18_INPUT
